순위,상품번호,도서명,부제목,저자,출판사,출판일,판매가,정가,적립포인트,판매지수,평점,리뷰수
1,189114943,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인","인공지능, 에이전트, 커넥터, 플러그인, 아티팩트, 스케줄링, 디스패치, 하네스, 바로 배우고 바로 써먹는 AI 입문서",차진우,골든래빗,2026년 05월,25200,28000,1400,38511,9.6,11
2,167573138,혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호,한빛미디어,2025년 12월,27000,30000,1500,80778,9.9,170
3,192148896,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,"처음이어도 내일 바로 적용하는 진짜 쉬운 직장인 AI 활용법! 기획, 조사, 정리, 데이터 분석, 보고서, 메일, 업무 자동화까지 한 권으로 뚝딱! 끝내기",코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,19800,22000,220,13017,10.0,29
4,176901674,이게 되네? 제미나이 완전 미친 활용법 81제,"나노바나나, 노트북LM, 오팔, Veo, Flow까지, 진짜 실무에서 쓰는 Gemini 최강 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의",오힘찬,골든래빗,2026년 02월,21600,24000,1200,77754,9.8,161
5,169849422,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!","안익재, 황의태",앤써북,2025년 12월,17820,19800,990,45189,10.0,93
6,150566390,"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석,코리아닷컴(Korea.com),2025년 08월,24300,27000,1350,77439,9.5,63
7,193587161,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],"스마트폰 메디방페인트, 아이패드 프로크리에이트로 디지털 드로잉 그림 그려서 미리캔버스, 크라우드픽, 어도비스톡에서 팔아 매달 월세 버는 실전 수익화 비법",스튜디오 홍차,골든래빗,2026년 07월,23220,25800,1290,4080,10.0,2
8,189818905,하네스 엔지니어링 with 클로드 코드,AI 에이전트 팀을 설계하고 운영하는 개발자 실전 가이드,황민호,한빛미디어,2026년 06월,27000,30000,1500,20373,9.4,29
9,183751609,한눈에 보는 AI 반도체 산업,,MrTrigger,한빛미디어,2026년 03월,23400,26000,1300,16320,9.9,148
10,189413191,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,"챗GPT·제미나이 캔버스부터 볼트, 러버블, AI 스튜디오, 구글 안티그래비티까지, 설치 없이, 코딩 없이, 대화만으로 완성하는 나만의 AI 수업 도구","공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,19800,22000,1100,11907,9.9,105
11,189211422,클로드 코드로 시작하는 실전 에이전틱 코딩,"완벽한 통제를 위한 AI 개발팀 구축 가이드, 하네스 엔지니어링, 에이전트 오케스트레이션, MoAI-ADK",Goos Kim,더 타이즈,2026년 05월,29700,33000,1650,21165,9.8,12
12,192877325,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,"ChatGPT부터 Google Gemini, Claude, 수노, 노트북LM, Flow, Omni, 나노바나나, 감마, 냅킨, 캡컷 숏폼 편집까지 초보자도 바로 쓰는 인공지능 [가장 쉽고 친절한 AI 입문·활용서]",지현이,시프트,2026년 07월,19800,22000,1100,5445,10.0,3
13,185897982,바쁜 교사를 위한 바로 쓰는 AI,"수업 설계부터 학생 평가, 행정 업무까지! AI로 완성하는 실무 활용법","전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,21600,24000,1200,20301,10.0,19
14,193389466,현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!),"제미나이, 구글비즈, 일레븐랩스, 캔바, 패들렛, 스노클AI, MS팀즈, 챗GPT, 제미나이젬스, 구글폼즈, 노트북LM, 워드월, 블루킷, 유튜브, 다했니, 브리스크티칭, 띵커벨, 리릭스트레이닝","권수정, 장은정, 이민화, 강미나, 유지민",광문각출판미디어,2026년 07월,19000,19000,0,4560,10.0,19
15,145426898,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT부터 캔바, 구글 스프레드시트, API 연동까지","박진환, 공지훈, 서원진",한빛미디어,2025년 05월,18000,20000,1000,82788,9.8,65
16,106711883,진짜 쓰는 실무 엑셀,"유튜브 대표 엑셀 채널, 오빠두가 알려 주는 엑셀 함수, 보고서 작성, 데이터 분석 노하우!",전진권,제이펍,2022년 02월,18900,21000,1050,66714,9.8,388
17,189531001,일 잘하는 직장인의 AI 활용법,"구글 제미나이, 노트북LM, 나노바나나, 챗GPT, 클로드, 퍼플렉시티, Flow, Gems, 딥 리서치, 캡컷, Make 등 상황별로 골라 쓰는 AI 업무 툴 완전 가이드","김덕중, 김민정, 김인선",디지털북스,2026년 05월,19800,22000,1100,9102,10.0,7
18,188182444,된다! 캡컷 영상 편집,"긴 유튜브 영상도 쇼츠·릴스도 OK! 크로마키, 자동 자막부터 AI 더빙까지 64개 예제로 전문 편집 기법 완전 정복!",지민이,이지스퍼블리싱,2026년 05월,19800,22000,1100,10932,10.0,31
19,189855418,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",기획부터 엑시트까지 코드 한 줄 없이 글로벌 매출을 만드는 1인 프로덕트 빌더 풀코스,조동근,한빛미디어,2026년 05월,27000,30000,1500,12858,9.6,18
20,119293186,Do it! 점프 투 파이썬,중학생도 첫날부터 실습하는 초고속 입문서,박응용,이지스퍼블리싱,2023년 06월,19800,22000,1100,40560,9.7,151
21,189634812,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,진짜 현장에 필요한 AI 디지털 핵심 도구 41선,"송해남, 한의표, 김은서, 박수임, 김혜진 저 외 1명
                                        
정보 더 보기/감추기



송해남
한의표
김은서
박수임
김혜진
유영재",프리렉,2026년 05월,24300,27000,1350,9576,10.0,24
22,186846424,클로드 코드 마스터,기획·개발·운영이 한 번에 끝나는 AI 에이전틱 코딩 워크플로,"이남희, 백승현",한빛미디어,2026년 04월,32400,36000,1800,14175,9.8,24
23,163301895,된다! 하루 만에 끝내는 제미나이 활용법,"보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림,이지스퍼블리싱,2025년 11월,18000,20000,1000,75963,9.8,78
24,159167901,3줄의 글로 수익을 만드는 스레드 운영법,스레드 브랜딩·마케팅·수익화 실전 전략,이동영,한빛미디어,2025년 10월,18000,20000,1000,13728,9.6,40
25,192127768,"클로드 올인원 with 코워크, 코드, 디자인","문서 작업부터 대시보드 제작까지, 지금 바로 시작하는 업무 자동화","클리커, 강민혁",한빛미디어,2026년 06월,28800,32000,1600,4476,9.8,13
26,109625396,혼자 공부하는 파이썬,1:1 과외하듯 배우는 프로그래밍 자습서,윤인성,한빛미디어,2022년 06월,19800,22000,1100,21984,9.4,104
27,193444437,UX의 언어들,마음과 행동을 움직이는 설계의 원리,"한성희, 신행철",파지트,2026년 07월,15300,17000,850,1830,10.0,1
28,180953300,슈퍼휴먼 슈퍼워크,1인이 100인의 임팩트를 만드는 AI 에이전트 시대가 온다,"유호현, 김진실",골든래빗,2026년 03월,21600,24000,1200,4815,9.9,105
29,192505185,피지컬 AI 시스템 설계,"LLM/VLM에서 VLA까지, 시뮬레이터·데이터·오픈 생태계로 설계하는 로봇 지능",엥지유니버스,한빛미디어,2026년 06월,27000,30000,1500,6747,10.0,2
30,187173505,바이브 코더를 위한 최소한의 AI/IT 지식,‘이게 왜 되지?’ 개발 안 해본 개발자의 난생처음 바이브 코딩 입문서,"클리커, 이희영",한빛미디어,2026년 04월,19800,22000,1100,6813,10.0,52
31,192876161,교사와 학부모를 위한 바이브 코딩,아이디어를 도구로 바꾸는 바이브 코딩 입문,"황건호, 신종환, 김형규, 김명휘",씨마스21,2026년 07월,24300,27000,1350,2832,0.0,0
32,189212536,지적 대화를 위한 AI 언어 수업,생각을 확장하는 프롬프트의 기술,강수진,어웨이크(AWAKE),2026년 05월,18000,20000,1000,11262,10.0,1
33,189114942,바로바로 제미나이 X 구글 AI,"구글 웍스, 노트북LM, 딥 리서치, 플로우, 구글 AI 스튜디오, 나노 바나나, 스티치, 오팔 바로 배우고 바로 써먹는 AI 코딩 입문서",공냥이,골든래빗,2026년 06월,21600,24000,1200,10233,10.0,1
34,183538633,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT·블루킷·젭퀴즈·노션·캔바·구글 시트까지, 요즘 교실에 꼭 필요한 에듀테크 활용법","박진환, 서원진, 박권",한빛미디어,2026년 04월,21600,24000,1200,12015,9.9,124
35,183674597,"클로드 코워크 with 스킬, 플러그인",퇴근을 앞당기는 완벽한 업무 자동화,"클리커, 강민혁",한빛미디어,2026년 03월,23400,26000,1300,12588,9.1,23
36,191481932,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오","수업준비, 행정업무, 학급경영 내일 당장 쓸 수 있는 42가지 활용법","송명신, 최연준, 최수진, 양서현",앤써북,2026년 06월,15930,17700,880,5406,10.0,15
37,184533580,학교에서 바로 쓰는 제미나이 & 노트북LM,교사 업무를 덜어 주는 AI 활용법,"손성호, 김민, 김상백, 송유미, 박권 저 외 1명
                                        
정보 더 보기/감추기



손성호
김민
김상백
송유미
박권
최동욱",학교도서관저널,2026년 04월,17100,19000,950,12090,10.0,15
38,184275427,세컨드 브레인은 옵시디언 with 클로드 코드,"입문자를 위한 기초 사용법부터 마크다운, 플러그인, PARA, 제텔카스텐, MCP, 옵시디언 CLI, 스킬, AI 활용까지!",시안,골든래빗,2026년 04월,23750,25000,1250,6423,9.8,37
39,175110068,요즘 바이브 코딩 코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터",윤재원,골든래빗,2026년 02월,25200,28000,1400,6675,9.8,36
40,144648441,구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,실전기초/행정업무/일정관리/담임업무/학급운영/교수평기,"지미정, 장성진, 유병선",앤써북,2025년 04월,21960,24400,1220,18465,9.9,17
41,193361186,AI가 두려운 당신에게,배경훈 부총리가 보내는 14가지 답변,"배경훈, 과학기술정보통신부",한빛미디어,2026년 07월,16020,17800,890,6630,9.9,26
42,192878493,딥 유토피아,초지능이 완성한 세상에서 삶은 무엇으로 채워지는가,닉 보스트롬 저/김의석 역,까치(까치글방),2026년 05월,25200,28000,280,1416,0.0,0
43,192509680,요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정,"챗GPT부터 제미나이·수노·캔바·노트북LM·크롬 뮤직 랩·투닝까지, 음악&미술 교과에 바로 쓰는 AI×에듀테크 수업 활용법/유튜브 강의 제공","김태선, 조민의",한빛미디어,2026년 06월,18900,21000,1050,2331,9.9,95
44,191211795,Do it! AI 시대에 살아남는 프런트엔드 면접의 기술,대기업 프런트엔드 면접관이 알려 주는 109가지 실전 질문,정희,이지스퍼블리싱,2026년 06월,32400,36000,1800,5289,10.0,5
45,191700749,중국 AI 미래 지도,"딥시크에서 미중 패권까지, 중국은 어떻게 세계 질서를 바꾸는가",임선영 저/정진호 그림,책만,2026년 06월,24300,27000,1350,6645,9.6,11
46,191693950,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,"자연어로 구축하고 운영하는 AI 네이티브 시대의 첫 인프라 실습서! AI 에이전트, GCP, AWS, Azure, 코덱스 CLI, 제미나이 CLI, 스타트업, 엔터프라이즈, 바이브코딩, GitAIOps, AI 튜터, 가드레일",조훈,길벗,2026년 06월,21600,24000,1200,5208,10.0,3
47,193160264,원하는 대로 튜닝하는 나만의 sLLM,"비용은 낮게, 보안은 높게, 성능은 내 업무에 딱 맞게!",오지영,길벗,2026년 07월,30600,34000,1700,1002,10.0,1
48,192695313,"돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]","온라인 쇼핑몰 창업, 상품 소싱, 마진 계산, 상세페이지, 상위 노출, 리뷰 관리, 광고 전략, AI 마케팅 자동화까지 이커머스 고수가 알려주는 현장 밀착형 실전 수익화 비법",김경은(단아쌤),골든래빗,2026년 07월,23220,25800,1290,1818,0.0,0
49,183545796,제미나이 교사 마스터 플랜 (2026년 최신판),"구글공인트레이너 교사의 AI 수업_나노 바나나, 노트북LM, 구글 AI 스튜디오, 캔바 코드, 바이브 코딩, 앱스 스크립트",한민철,책바세,2026년 04월,27000,30000,1500,9642,10.0,26
50,143907967,된다! 조회수 터지는 유튜브 쇼츠 만들기,구독자 없어도 알고리즘 탄다! AI로 영상 빠르게 만들어 수익화까지!,최지영,이지스퍼블리싱,2025년 04월,19800,22000,1100,24297,9.9,65
51,193044742,한 권으로 끝내는 제미나이 재테크,주식·부동산·세금·보험·연금까지 가장 쉬운 AI 금융 활용서,조성호,한빛미디어,2026년 07월,18900,21000,1050,1170,10.0,1
52,192564690,"딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트","데이터 분석부터 슬라이드 자동 생성, 반복 업무 자동화까지 ? 직장인의 AI 업무력을 키우는 실전 가이드",LearnAI Team,위키북스,2026년 07월,23400,26000,1300,1800,0.0,0
53,152644865,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐), 신수진",시프트,2025년 09월,18000,20000,1000,20778,9.7,29
54,116860343,AI 2041,10개의 결정적 장면으로 읽는 인공지능과 인류의 미래,"리카이푸, 천치우판 저/이현 역",한빛비즈,2023년 01월,26820,29800,1490,10035,9.7,75
55,192277218,이게 되네? AI 실무 올인원 미친 활용법 71제,"챗GPT, 제미나이, 클로드, 퍼플렉시티, 노트북LM, 노션 AI, 나노바나나 2, 그록과 MCP, 스킬까지 업무·투자·일상을 바꾸는 인공지능 종합 필살기",이석현,골든래빗,2026년 07월,23400,26000,1300,2643,10.0,16
56,187491806,이게 되네? 캔바 AI 미친 활용법 47제,"프레젠테이션, SNS, 인쇄물, 동영상, 광고, 카드 뉴스, 홈페이지, 메일, 템플릿 활용까지 뭐든지 만드는 캔바 디자인 완벽 마스터",이지쌤(이지훈),골든래빗,2026년 05월,21600,24000,1200,5715,10.0,15
57,192877328,슬기로운 교사 생활 캔바 AI 수업 활용법,"프레젠테이션, 동영상, SNS, 템플릿 활용, 학습 자료는 물론 Docs, 시트, Canva AI와 바이브 코딩으로 수업 앱 제작까지 교육용 캔바의 기초를 넘어 캔바 AI 활용법 완전 정복!",미나리쌤,골든래빗,2026년 07월,21420,23800,1190,1380,10.0,12
58,146955725,된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,18000,20000,1000,31548,9.5,99
59,192529089,리더의 AI 노트,"지시하는 기술에서 설계하는 기술로, 리더의 질문이 AX 성과를 결정한다",김지현,한빛미디어,2026년 06월,21600,24000,1200,4449,10.0,1
60,193050689,90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제,"요즘 교사의 수업, 업무 경감 컴퓨터 활용 끝판왕",최우진,앤써북,2026년 07월,15930,17700,880,2433,10.0,7
61,112941801,회사는 엑셀을 가르쳐주지 않아요,,쏘피(박성희),메가스터디북스,2022년 09월,16200,18000,900,15042,9.7,79
62,191698395,검색은 끝났다 AEO·GEO 마케팅,광고비 0원으로 AI를 당신의 24시간 영업사원으로 부리는 법,"주민건, 한용희, 김진용",골든래빗,2026년 06월,21600,24000,1200,3696,9.8,11
63,189674360,"다시, 소프트웨어 엔지니어",AI 시대에도 결코 대체되지 않을 개발자의 기본 역량과 생존법,"네서니얼 슈타, 댄 베가 저/박성철 역",책만,2026년 05월,27000,30000,1500,6180,0.0,0
64,185714339,"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",AI 나만 못 쓰나? 지금도 Q&A에 멈춰 있는 당신에게,김용성,프리렉,2026년 04월,22500,25000,1250,3249,9.7,207
65,143912145,혼자 공부하는 머신러닝+딥러닝,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선,한빛미디어,2025년 04월,28800,32000,1600,18123,9.7,148
66,189128697,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,"수업 설계, 학급 운영, 행사 자료 제작부터 캔바 AI, 구글 클래스룸, 패들렛, 북 크리에이터 확장 기능까지 캔바로 완성하는 슬기로운 학교생활",황은지,제이펍,2026년 05월,19800,22000,1100,5172,9.9,34
67,142814138,된다! 하루 만에 준비하는 AI 학교 수업 활용법,"with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI","정인걸, 김경수",이지스퍼블리싱,2025년 03월,17820,19800,990,17421,10.0,40
68,118982111,혼자 공부하는 C 언어,1:1 과외하듯 배우는 프로그래밍 자습서,서현우,한빛미디어,2023년 05월,23400,26000,1300,10794,9.6,54
69,192047818,밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복,"바이브 코딩 입문자부터 풀스택 개발자까지, 모두를 위한 클로드 코드 완전 활용법",엄태효,위키북스,2026년 06월,25200,28000,1400,3009,10.0,2
70,190852162,클로드 코워크,24시간 일하는 나만의 맞춤형 AI 비서,신승희,생능북스,2026년 06월,21600,24000,1200,2853,10.0,26
71,192470678,아키텍처는 진화한다,데이터 중심으로 읽는 IT 시스템의 변화 원리,공상휘,인사이트(insight),2026년 07월,25200,28000,1400,1866,0.0,0
72,188266803,AI시대에 난생처음 들어보는 데이터센터 이야기,,김주회,북플레이트,2026년 04월,19800,22000,1100,11298,10.0,18
73,191173742,진짜 쓰는 프리미어 영상 편집 2026 (최신개정판),유튜브 및 SNS 콘텐츠 제작을 위한 동영상 편집 실무 강의 [포토샵 + 애프터 이펙트 연동 부록 PDF 제공],조블리,제이펍,2026년 06월,23400,26000,1300,2664,10.0,18
74,176901915,"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!","체듀테크(체육+에듀테크), 체육수업설계, 학생성장기록, 시범부담해소, 교실/체육관 대안수업, 체육수업데이터화, 자기주도적 신체활동, AI기반체육수업","임우균, 서지원",앤써북,2026년 02월,15120,16800,840,2640,10.0,19
75,192533233,그림으로 이해하는 IT 인프라 구조와 기술,"네트워크, 서버, 클라우드, 웹 시스템, 운영, 장애 대응까지 IT 인프라의 전체 지형도를 한 권으로!","츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카 저/김성훈 역",길벗,2026년 06월,19800,22000,1100,1644,10.0,5
76,192164452,클로드 코워크 시작하기,"나만의 AI 비서, 초특급 업무활용법",조남경,비엘북스,2026년 07월,25200,28000,1400,2274,0.0,0
77,191485571,AI 냄새 지우기,AI를 쓸수록 내 사유가 더 강해지는 법,벤진 리드,자이언톡,2026년 06월,17820,19800,990,2187,10.0,14
78,189520507,된다! 스레드 활용법,알고리즘 타고 조회수 터지는 글쓰기 공식! 짧은 글로 시작하는 브랜딩 & 수익화,거북이걸음,이지스퍼블리싱,2026년 06월,19800,22000,1100,2976,10.0,36
79,185824258,돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그,"N잡러, 경단녀, 육아맘을 위한 체험단, 애드포스트, 원고료, 브랜드 협업, 제휴마케팅, 쇼핑 커넥트까지 1일 1포스팅 꾸준함으로 완성하는 실전 수익화 비법",정소희,골든래빗,2026년 04월,23220,25800,1290,3408,9.9,16
80,180508055,된다! 조회수 터지는 인스타그램 릴스 만들기,3초 후킹 전략부터 알고리즘의 비밀까지! AI로 빠르게 기획해서 수익화하자!,최지영,이지스퍼블리싱,2026년 03월,18900,21000,1050,4086,9.9,74
81,176410996,맛있는 디자인 포토샵&일러스트레이터 CC 2026,누구나 쉽게 배우고 AI 기능까지 제대로 써먹는 그래픽 입문서,"박정아, 윤이사라",한빛미디어,2026년 02월,23400,26000,1300,5583,10.0,139
82,191321951,7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판),"수익형 숏폼, SNS 광고, 단편 영화까지 장비, 배우, 성우 없이 AI 하나로",홍순성,한빛미디어,2026년 06월,22500,25000,1250,1938,9.8,10
83,189790267,Do it! 유니티 6로 게임 제작 & 출시하기,AI 시대에 게임 업계가 바라는 제작 전략을 담았다!,고정운,이지스퍼블리싱,2026년 05월,32400,36000,1800,2184,10.0,2
84,187927629,AI 실전 마스터 칼릭스의 프롬프트 디테일,"크리에이티브 프레임워크, 워크플로우, AI 에이전트, 바이브코딩, 기획부터 코딩까지 바로 써먹는 기적의 프롬프트 템플릿",칼릭스(손윤석),한빛비즈,2026년 04월,19800,22000,1100,6015,9.7,13
85,185269651,n8n이 다 해줌,뉴스 요약부터 투자 리포트까지 코드 없이 만드는 AI 자동화 워크플로우,"이인영, 임정",한빛미디어,2026년 04월,25200,28000,1400,2352,9.9,113
86,184310483,한 권으로 끝내는 피지컬 AI ROS2 입문+실전(종합편),"ROS2, LIDAR, Camera, ESP32, micro-ROS","서민우, 전현희, 이현아, 박찬호",앤써북,2026년 04월,22950,25500,1270,2955,10.0,14
87,146036009,Do it! LLM을 활용한 AI 에이전트 개발 입문,GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용,이지스퍼블리싱,2025년 05월,31500,35000,1750,15042,9.7,23
88,111378840,혼자 공부하는 컴퓨터 구조+운영체제,,강민철,한빛미디어,2022년 08월,25200,28000,1400,12456,9.8,118
89,190806231,요즘 바이브 코딩 하네스 with 클로드 코드,"AI 에이전트 엔지니어링, 서브에이전트 , 스킬, SDD, 리팩터링, 헤르메스, 워크트리, 코드 리뷰, 데이터베이스, 세션 관리, 메모리, 체크포인트, 워크플로, 코드 보안 프롬프트 X 컨텍스트 X 하네스 구축의 원리와",조성진,골든래빗,2026년 06월,27000,30000,1500,2817,10.0,5
90,180513899,클로드 코드를 활용한 바이브 코딩 완벽 입문,"기본 사용법부터 MCP, 병렬 처리, 서브에이전트, 보안 설계와 응용 활용법까지",히라카와 토모히데 저/최용 역,위키북스,2026년 03월,23400,26000,1300,14439,9.5,8
91,193691277,"누구나 성공하는 AI 비서, 오픈클로","윈도우·맥미니·라즈베리 파이까지, 30분 만에 구축하는 오픈클로 실전 활용서","박권, 임세범, 홍성용, 정용석, 김경상 저 외 2명
                                        
정보 더 보기/감추기



박권
임세범
홍성용
정용석
김경상
김준오
강현수",책밥,2026년 07월,21600,24000,1200,600,0.0,0
92,193681748,AI 영상 제작,"진짜보다 더 진짜 같은 AI 영상부터 싱크로율 100% 보컬 영상까지, 속지 않을 자신 있나요?","문수민, 민지영, 신호진, 강경희, 앤미디어",길벗,2026년 07월,24300,27000,1350,660,10.0,3
93,192962342,벡터 데이터베이스 설계와 구축,"Vector DB에서 RAG, 그리고 Graph DB까지",송기상,아이리포,2026년 07월,17820,19800,990,636,0.0,0
94,192662784,생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼),"ChatGPT, Gemini, NotebookLM",장미희,박문각,2026년 07월,20900,22000,440,960,9.9,27
95,189629427,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),"나노바나나2, 그록 AI, 캡컷 AI, 클링 AI, 폴로 AI, 젠스파크, 리리아3, 수노AI, 노트북LM) | 제미나이 활용 QR코드 예제 수록","송상미, 윤소영, 강은정",광문각출판미디어,2026년 05월,19000,19000,0,2601,10.0,46
96,188882750,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는,씨엠제이(최민정),한빛미디어,2026년 05월,16200,18000,900,2982,10.0,23
97,183919456,모두의 노션 AI,초보자도 바로 써먹는 노션 입문서,"임대균, 오가연",생능북스,2026년 04월,15120,16800,160,2835,9.8,52
98,183539313,AI 시대 서·논술형 평가 설계 바이블,현직 수석교사와 교사가 들려주는 새로운 시대의 평가 이야기,"조현준, 이근숙, 권좌실, 이슬기, 엄주연 저 외 1명
                                        
정보 더 보기/감추기



조현준
이근숙
권좌실
이슬기
엄주연
오덕수",에듀니티교육연구소(에듀니티),2026년 03월,19800,22000,1100,8475,10.0,9
99,174018513,AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다 저/강민혁 역,한빛미디어,2026년 01월,28800,32000,1600,11907,9.5,17
100,169665962,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,"인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작, 유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영,골든래빗,2026년 01월,23400,26000,1300,7968,10.0,10
101,165239801,대체불가 AI 영상 제작 완전정복,챗GPT로 기획하고 제너레이티드 포토스·아트브리더·구글 베오·나노 바나나(Flash 2.5)·미드저니·프리픽·시드림·수노 AI·일레븐랩스·클링AI·런웨이·피카·소라2·컴피UI·캡컷 AI로 완성하기,이용태,책바세,2025년 12월,26100,29000,1450,9654,9.7,14
102,154925812,AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌 저/변성윤 역,한빛미디어,2025년 09월,36000,40000,2000,14601,9.9,17
103,147074475,업무와 일상을 정리하는 새로운 방법 노션,"생각 정리부터 업무 생산성, 협업 관리 도구를 노션 하나로!",전시진,제이펍,2025년 06월,21600,24000,1200,6468,9.7,20
104,146828240,핸즈온 LLM,"프롬프트 엔지니어링부터 임베딩, 시맨틱 검색, 미세 튜닝까지, 손에 잡히는 LLM 개념","제이 알아마르, 마르턴 흐루턴도르스트 저/박해선 역",한빛미디어,2025년 06월,34200,38000,1900,6258,9.8,25
105,144979816,질문으로 답을 찾는 인공지능 윤리 수업,,박형빈,한언,2025년 04월,18900,21000,1050,7848,9.8,11
106,142201171,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷,"릴스 마법사 롱제이의 인스타그램, 유튜브 채널 운영을 위한 숏폼 영상 촬영 편집 꿀팁!",김지희,시프트,2025년 03월,20700,23000,1150,11670,9.9,32
107,191479539,바로바로 챗GPT X 덕테이프 X 코덱스,"인공지능, 에이전트, Image 2.0, 바이브 코딩, 바로 배우고 바로 써먹는 AI 입문서",박현규,골든래빗,2026년 06월,21600,24000,1200,1818,9.0,4
108,193667871,하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩,,그릿지선(이지선),호호북앤드림,2026년 07월,17820,19800,990,540,0.0,0
109,193184189,색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정,,전수연,디지털북스,2026년 07월,19800,22000,1100,810,0.0,0
