순위,상품번호,도서명,부제목,저자,출판사,출판일,판매가,정가,적립포인트,판매지수,평점,리뷰수
619,148562901,노션 템플릿 상점,노션 앰배서더 Rei가 만들고 노슈니가 먼저 써본 템플릿과 활용법 모두 모음집,Rei 저/노슈니 감수,길벗,2025년 07월,19800,22000,1100,7716,9.8,144
620,146492205,이게 되네? 챗GPT 미친 기획 X 마케팅 59제,"노션 AI, 리스틀리, 구글 트렌드, 퍼플렉시티, 미리캔버스, 달리, 코파일럿 디자이너, 캔바 등 50여 가지 업무 자동화 일잘러 AI 도구 활용","이나현, 황성민",골든래빗,2025년 06월,23400,26000,1300,3630,10.0,6
621,136883319,나는 해외구매대행으로 한 달에 월급을 두 번 받는다,똑똑한 해외구매대행으로 쏠쏠한 N잡러 되기,제노,위키북스,2024년 11월,21600,24000,1200,1380,10.0,5
622,193689833,대치동 엄마들도 모르는 AI 활용법 2,엄마와 아이가 함께 따라 하는 AI 공부 실전 워크북,"이종구, 이정화, 김찬곤, 한금화, 도윤서 저 외 4명
                                        
정보 더 보기/감추기



이종구
이정화
김찬곤
한금화
도윤서
오지성
조현주
배은영(밸라쌤)
박찬두",디지털콘텐츠그룹,2026년 07월,24300,27000,1350,60,0.0,0
623,193689689,대치동 엄마들도 모르는 AI 활용법 1,"학원비를 쓰기 전, 부모가 먼저 읽는 AI 교육의 정석","박찬두, 배은영(밸라쌤), 조현주, 오지성, 도윤서 저 외 4명
                                        
정보 더 보기/감추기



박찬두
배은영(밸라쌤)
조현주
오지성
도윤서
한금화
김찬곤
이정화
이종구",디지털콘텐츠그룹,2026년 07월,19800,22000,1100,60,0.0,0
624,193592364,나는 AI 에이전트 팀과 일한다,솔로프러너를 위한 n8n + AI 에이전트 실전 워크플로,박현아,제이펍,2026년 07월,23400,26000,1300,60,0.0,0
625,193448341,AI와 라이프 아크 (큰글자책),,노유진,커뮤니케이션북스,2026년 07월,25000,25000,0,60,0.0,0
626,193448339,AI 창업 퍼실리테이터 (큰글자책),,"이명관, 박상혁",커뮤니케이션북스,2026년 07월,25000,25000,0,60,0.0,0
627,193072404,AI 리터러시 수업,,배장섭,어가,2026년 07월,20000,20000,0,120,0.0,0
628,193061798,AI 시대의 재난 현장 (큰글자책),,이대호,커뮤니케이션북스,2026년 07월,25000,25000,0,90,0.0,0
